id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
93,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,СК718926,4,1,06-01-2025
27,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК663627,1,13,18-01-2025
86,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,АК114678,5,27,22-01-2025
50,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,ТК152706,3,27,28-01-2025
17,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,449129472,5,25,28-01-2025
43,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК569052,2,30,04-02-2025
3,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК103695,4,23,14-02-2025
37,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,170553055,2,22,16-02-2025
91,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,МК577411,5,28,20-02-2025
34,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,МК573861,1,13,22-02-2025
94,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,159592786,2,1,22-02-2025
65,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,175143455,4,6,26-02-2025
2,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,848775422,4,11,26-02-2025
90,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,ТК583532,4,2,02-03-2025
35,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,МК566325,4,10,08-03-2025
97,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,298550314,2,27,10-03-2025
16,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК200841,4,7,16-03-2025
23,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,МК845674,3,26,22-03-2025
8,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,705977610,4,30,22-03-2025
54,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,ТК405175,2,7,24-03-2025
22,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,724480004,5,12,02-04-2025
13,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,СК276002,3,26,12-04-2025
1,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,190206433,5,5,14-04-2025
70,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,СК394783,1,15,16-04-2025
68,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,933940882,3,12,16-04-2025
79,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,500025377,4,4,16-04-2025
19,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,МК462988,4,15,22-04-2025
26,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,400820701,2,25,24-04-2025
6,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,427333155,1,30,26-04-2025
29,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,МК410065,2,13,28-04-2025
56,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,СК221126,1,24,04-05-2025
63,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК259201,3,8,06-05-2025
51,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК230767,5,24,06-05-2025
67,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,ТК318537,5,16,08-05-2025
53,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,СК127878,4,7,10-05-2025
57,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,937668697,3,10,12-05-2025
81,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,236806318,4,10,12-05-2025
77,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,704223592,2,14,14-05-2025
62,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,861326999,2,24,20-05-2025
24,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,ТК576103,1,7,22-05-2025
21,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,АК992313,5,20,22-05-2025
15,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,129595568,2,9,28-05-2025
40,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,559316021,4,21,02-06-2025
80,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,АК682347,1,22,06-06-2025
52,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,МК681145,2,15,06-06-2025
83,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,ТК601272,1,29,10-06-2025
39,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,СК369785,3,5,26-06-2025
61,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,570079856,4,11,28-06-2025
89,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,119961869,3,2,02-07-2025
45,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,907798350,1,30,08-07-2025
74,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,201557537,5,28,10-07-2025
73,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,МК727666,2,15,12-07-2025
82,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,698487409,4,5,14-07-2025
100,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,796898354,3,30,16-07-2025
31,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,АК773858,2,19,18-07-2025
30,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,142997239,3,20,18-07-2025
42,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,СК634850,3,28,20-07-2025
84,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,273306143,4,3,20-07-2025
98,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,МК182402,3,17,22-07-2025
25,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,942719980,4,9,06-08-2025
96,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,МК982513,1,4,12-08-2025
78,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,779983253,5,24,12-08-2025
48,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,521281607,5,2,14-08-2025
5,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,АК239708,4,1,26-08-2025
66,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,АК742813,1,22,28-08-2025
28,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,МК823659,2,28,04-09-2025
72,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,АК530532,4,19,10-09-2025
44,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,570767829,3,8,12-09-2025
36,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,799993136,3,26,12-09-2025
87,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,АК656471,1,9,20-09-2025
20,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,МК798807,1,19,20-09-2025
12,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,МК427894,3,12,20-09-2025
99,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,АК635555,1,16,24-09-2025
33,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,АК292798,5,12,24-09-2025
41,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,ТК753473,1,8,28-09-2025
76,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,596724739,1,24,28-09-2025
92,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,878100648,4,28,02-10-2025
9,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,АК325258,1,18,06-10-2025
75,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,247384345,4,26,06-10-2025
46,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,СК360294,2,18,08-10-2025
69,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК135684,3,20,12-10-2025
47,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,ТК673419,5,21,14-10-2025
32,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,МК796994,3,11,22-10-2025
95,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,105451295,4,28,22-10-2025
10,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,534634052,4,4,26-10-2025
58,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,АК929580,1,16,04-11-2025
