id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
384,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,АК941998,5,29,02-01-2025
344,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,МК168815,5,10,04-01-2025
377,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,АК506356,2,23,06-01-2025
373,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,СК113579,4,12,10-01-2025
372,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,302246312,4,13,12-01-2025
348,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,389674185,3,30,14-01-2025
306,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,185112241,4,19,22-01-2025
324,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК678239,3,12,26-01-2025
369,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,365062733,2,24,04-02-2025
389,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,203075310,3,24,06-02-2025
365,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,167744663,4,12,10-02-2025
332,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,ТК978174,3,26,12-02-2025
353,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,АК960341,4,6,12-02-2025
337,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,205247338,5,15,12-02-2025
357,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,121441059,2,2,16-02-2025
382,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,507358741,3,18,18-02-2025
388,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК845462,5,10,20-02-2025
318,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,338851601,1,22,22-02-2025
321,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,627899703,3,6,26-02-2025
341,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,СК624489,4,25,26-02-2025
314,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,214716493,3,12,02-03-2025
392,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,166289620,4,26,04-03-2025
336,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,239650753,1,5,10-03-2025
347,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,103284345,2,10,22-03-2025
333,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,204969367,2,13,26-03-2025
376,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,ТК704624,3,23,26-03-2025
326,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,МК867537,4,22,28-03-2025
371,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,МК131042,4,9,04-04-2025
381,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,242547656,1,1,10-04-2025
323,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,181811635,4,2,10-04-2025
319,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,247447599,3,6,14-04-2025
315,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,501052648,3,14,16-04-2025
331,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,805596718,1,23,18-04-2025
386,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,429606910,5,27,24-04-2025
328,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,МК744451,5,2,26-04-2025
316,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,АК124963,3,22,02-05-2025
360,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,АК968166,4,30,08-05-2025
308,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,АК304628,5,29,12-05-2025
311,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,834045810,1,3,26-05-2025
309,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,СК814083,4,9,28-05-2025
339,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,863764056,4,13,28-05-2025
379,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,219776078,5,8,28-05-2025
370,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,546754943,1,20,02-06-2025
362,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,913899779,1,26,10-06-2025
397,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК462103,1,21,16-06-2025
368,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,СК420911,1,24,18-06-2025
352,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,290613405,1,23,24-06-2025
394,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,835331352,3,10,24-06-2025
301,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,130761702,5,17,24-06-2025
