trainId,passengerSurname,passportNumber,carriageNumber,seatNumber,departureDate
1,Шевченко,190206433,5,5,2025-04-14
1,Кравченко,848775422,4,11,2025-02-26
1,Олійник,АК103695,4,23,2025-02-14
1,Бондаренко,731639303,2,4,2025-11-22
1,Шевченко,АК239708,4,1,2025-08-26
1,Шевченко,427333155,1,30,2025-04-26
1,Клименко,ТК678601,5,17,2025-01-12
1,Клименко,705977610,4,30,2025-03-22
1,Шевченко,АК325258,1,18,2025-10-06
1,Олійник,534634052,4,4,2025-10-26
1,Шевченко,ТК760564,2,24,2025-12-16
1,Поліщук,МК427894,3,12,2025-09-20
1,Ткаченко,СК276002,3,26,2025-04-12
1,Олійник,713137414,5,20,2025-12-12
1,Шевченко,129595568,2,9,2025-05-28
1,Клименко,АК200841,4,7,2025-03-16
1,Сидоренко,449129472,5,25,2025-01-28
1,Олійник,773232660,3,27,2025-11-16
1,Олійник,МК462988,4,15,2025-04-22
1,Ткаченко,МК798807,1,19,2025-09-20
1,Сидоренко,АК992313,5,20,2025-05-22
1,Олійник,724480004,5,12,2025-04-02
1,Поліщук,МК845674,3,26,2025-03-22
1,Бондаренко,ТК576103,1,7,2025-05-22
1,Бондаренко,942719980,4,9,2025-08-06
1,Кравченко,400820701,2,25,2025-04-24
1,Клименко,АК663627,1,13,2025-01-18
1,Сидоренко,МК823659,2,28,2025-09-04
1,Коваленко,МК410065,2,13,2025-04-28
1,Романенко,142997239,3,20,2025-07-18
1,Коваленко,АК773858,2,19,2025-07-18
1,Шевченко,МК796994,3,11,2025-10-22
1,Сидоренко,АК292798,5,12,2025-09-24
1,Клименко,МК573861,1,13,2025-02-22
1,Шевченко,МК566325,4,10,2025-03-08
1,Шевченко,799993136,3,26,2025-09-12
1,Ткаченко,170553055,2,22,2025-02-16
1,Сидоренко,МК233690,3,22,2025-12-16
1,Клименко,СК369785,3,5,2025-06-26
1,Сидоренко,559316021,4,21,2025-06-02
1,Романенко,ТК753473,1,8,2025-09-28
1,Романенко,СК634850,3,28,2025-07-20
1,Олійник,АК569052,2,30,2025-02-04
1,Романенко,570767829,3,8,2025-09-12
1,Коваленко,907798350,1,30,2025-07-08
1,Шевченко,СК360294,2,18,2025-10-08
1,Олійник,ТК673419,5,21,2025-10-14
1,Олійник,521281607,5,2,2025-08-14
1,Шевченко,МК344972,2,22,2025-12-14
1,Романенко,ТК152706,3,27,2025-01-28
1,Клименко,АК230767,5,24,2025-05-06
1,Сидоренко,МК681145,2,15,2025-06-06
1,Сидоренко,СК127878,4,7,2025-05-10
1,Клименко,ТК405175,2,7,2025-03-24
1,Поліщук,606467364,1,19,2025-12-18
1,Олійник,СК221126,1,24,2025-05-04
1,Ткаченко,937668697,3,10,2025-05-12
1,Поліщук,АК929580,1,16,2025-11-04
1,Ткаченко,631153108,3,19,2025-11-28
1,Шевченко,743850488,1,10,2025-12-16
1,Поліщук,570079856,4,11,2025-06-28
1,Романенко,861326999,2,24,2025-05-20
1,Олійник,АК259201,3,8,2025-05-06
1,Шевченко,229875329,5,6,2025-12-12
1,Олійник,175143455,4,6,2025-02-26
1,Шевченко,АК742813,1,22,2025-08-28
1,Сидоренко,ТК318537,5,16,2025-05-08
1,Олійник,933940882,3,12,2025-04-16
1,Клименко,АК135684,3,20,2025-10-12
1,Шевченко,СК394783,1,15,2025-04-16
1,Кравченко,СК276775,4,1,2025-11-22
1,Ткаченко,АК530532,4,19,2025-09-10
1,Ткаченко,МК727666,2,15,2025-07-12
1,Шевченко,201557537,5,28,2025-07-10
1,Поліщук,247384345,4,26,2025-10-06
1,Ткаченко,596724739,1,24,2025-09-28
1,Шевченко,704223592,2,14,2025-05-14
1,Коваленко,779983253,5,24,2025-08-12
1,Кравченко,500025377,4,4,2025-04-16
1,Романенко,АК682347,1,22,2025-06-06
1,Кравченко,236806318,4,10,2025-05-12
1,Романенко,698487409,4,5,2025-07-14
1,Бондаренко,ТК601272,1,29,2025-06-10
1,Бондаренко,273306143,4,3,2025-07-20
1,Бондаренко,754401548,1,4,2025-12-18
1,Ткаченко,АК114678,5,27,2025-01-22
1,Ткаченко,АК656471,1,9,2025-09-20
1,Клименко,МК723532,1,29,2025-11-28
1,Сидоренко,119961869,3,2,2025-07-02
1,Клименко,ТК583532,4,2,2025-03-02
1,Коваленко,МК577411,5,28,2025-02-20
1,Коваленко,878100648,4,28,2025-10-02
1,Кравченко,СК718926,4,1,2025-01-06
1,Романенко,159592786,2,1,2025-02-22
1,Ткаченко,105451295,4,28,2025-10-22
1,Бондаренко,МК982513,1,4,2025-08-12
1,Коваленко,298550314,2,27,2025-03-10
1,Поліщук,МК182402,3,17,2025-07-22
1,Шевченко,АК635555,1,16,2025-09-24
1,Ткаченко,796898354,3,30,2025-07-16
2,Поліщук,420183535,2,30,2025-06-09
2,Кравченко,179381059,3,14,2025-08-11
2,Олійник,АК773723,2,18,2025-12-27
2,Клименко,159501370,3,14,2025-07-23
2,Клименко,ТК319622,4,26,2025-08-23
2,Ткаченко,ТК440208,3,28,2025-07-13
2,Бондаренко,МК779496,4,2,2025-11-27
2,Сидоренко,МК816697,3,1,2025-06-09
2,Кравченко,831854884,1,10,2025-05-01
2,Ткаченко,925316745,1,16,2025-11-13
2,Кравченко,АК846115,4,8,2025-08-03
2,Сидоренко,ТК793357,2,10,2025-09-15
2,Олійник,334109053,5,1,2025-07-11
2,Бондаренко,159999213,5,17,2025-02-09
2,Поліщук,ТК436352,3,26,2025-01-07
2,Ткаченко,МК704017,4,12,2025-05-13
2,Бондаренко,859007685,1,28,2025-10-27
2,Клименко,СК733356,3,28,2025-07-15
2,Поліщук,721374030,1,27,2025-02-15
2,Ткаченко,839657846,5,11,2025-09-15
2,Ткаченко,СК937938,3,21,2025-09-09
2,Кравченко,АК508291,4,22,2025-02-07
2,Поліщук,725764984,2,18,2025-07-25
2,Ткаченко,725867849,1,6,2025-01-27
2,Шевченко,484956247,5,14,2025-10-01
2,Поліщук,583150316,5,2,2025-03-01
2,Поліщук,АК757169,4,24,2025-10-13
2,Ткаченко,842161595,2,15,2025-04-09
2,Бондаренко,666673144,5,13,2025-10-15
2,Романенко,177428294,4,19,2025-07-19
2,Бондаренко,899608967,2,12,2025-03-17
2,Коваленко,СК675765,4,17,2025-09-19
2,Клименко,828201750,4,18,2025-12-15
2,Поліщук,829665217,5,19,2025-12-21
2,Коваленко,АК196905,1,5,2025-01-25
2,Кравченко,283297449,4,5,2025-08-25
2,Олійник,АК725800,1,7,2025-06-03
2,Романенко,793410254,5,29,2025-04-25
2,Клименко,377370650,3,15,2025-11-13
2,Шевченко,646528072,5,6,2025-03-27
2,Романенко,501955128,2,2,2025-05-05
2,Шевченко,999880568,1,20,2025-04-23
2,Кравченко,ТК520337,3,2,2025-06-15
2,Коваленко,МК216152,4,6,2025-05-19
2,Ткаченко,832349735,5,6,2025-09-07
2,Бондаренко,МК114901,4,26,2025-12-09
2,Кравченко,344614883,5,17,2025-06-01
2,Клименко,ТК800268,3,27,2025-02-13
2,Сидоренко,АК371009,3,24,2025-07-09
2,Кравченко,ТК512514,2,3,2025-05-11
2,Коваленко,ТК871671,1,1,2025-08-21
2,Романенко,859188086,3,23,2025-07-03
2,Клименко,233243091,3,20,2025-04-13
2,Бондаренко,АК531903,4,11,2025-06-01
2,Олійник,ТК533142,4,19,2025-07-11
2,Коваленко,696938275,4,25,2025-10-05
2,Бондаренко,548978961,2,20,2025-11-27
2,Бондаренко,659356008,4,26,2025-08-01
2,Клименко,ТК343506,2,9,2025-03-07
2,Кравченко,СК279996,1,14,2025-04-27
2,Кравченко,780637564,1,26,2025-12-25
2,Олійник,АК897423,4,15,2025-11-23
2,Шевченко,АК945738,4,7,2025-03-01
2,Шевченко,383789762,5,10,2025-09-03
2,Сидоренко,АК111339,3,14,2025-01-15
2,Ткаченко,АК577879,2,7,2025-11-23
2,Поліщук,МК813940,2,12,2025-10-09
2,Кравченко,781210078,5,16,2025-12-23
2,Ткаченко,618780407,5,25,2025-03-19
2,Бондаренко,279903123,3,24,2025-06-11
2,Коваленко,825902638,2,13,2025-06-21
2,Ткаченко,АК114722,3,12,2025-10-09
2,Олійник,580386905,5,5,2025-02-11
2,Шевченко,МК630280,2,26,2025-08-25
2,Поліщук,842282957,1,1,2025-02-15
2,Клименко,СК828819,3,19,2025-12-03
2,Шевченко,АК171607,1,30,2025-03-05
2,Поліщук,738161168,5,26,2025-12-05
2,Олійник,АК500370,2,22,2025-05-09
2,Клименко,АК327422,1,19,2025-09-13
2,Поліщук,982674899,3,26,2025-08-27
2,Ткаченко,АК152946,5,20,2025-02-01
2,Шевченко,АК256500,1,27,2025-01-27
2,Кравченко,ТК822036,2,11,2025-02-09
2,Олійник,646595557,5,1,2025-03-11
2,Коваленко,СК334915,4,23,2025-03-25
2,Поліщук,СК287929,2,23,2025-11-17
2,Бондаренко,ТК495174,4,4,2025-09-13
2,Ткаченко,СК685066,2,2,2025-12-23
2,Олійник,542860396,5,8,2025-11-17
2,Клименко,245974556,5,29,2025-11-01
2,Ткаченко,364275366,4,25,2025-03-17
2,Клименко,581648987,5,30,2025-09-19
2,Кравченко,196134189,5,23,2025-03-09
2,Сидоренко,945455209,1,29,2025-10-01
2,Ткаченко,МК782189,1,23,2025-09-25
2,Бондаренко,774797333,2,9,2025-11-27
2,Поліщук,СК391479,3,12,2025-05-13
2,Романенко,МК235772,2,8,2025-12-05
2,Поліщук,585850061,2,26,2025-01-23
3,Сидоренко,СК446266,2,27,2025-11-18
3,Олійник,227752034,1,29,2025-04-11
3,Кравченко,964027486,4,30,2025-12-08
3,Ткаченко,406402281,3,25,2025-05-18
3,Сидоренко,857598744,1,14,2025-08-25
3,Клименко,АК978146,1,11,2025-08-17
3,Сидоренко,ТК501339,4,25,2025-03-15
3,Ткаченко,581098074,3,19,2025-04-03
3,Шевченко,427333155,4,16,2025-10-03
3,Клименко,ТК665135,5,17,2025-02-01
3,Коваленко,547903578,3,26,2025-06-21
3,Олійник,СК775874,5,19,2025-01-19
3,Олійник,853298061,5,24,2025-04-25
3,Романенко,МК355755,5,26,2025-12-01
3,Сидоренко,АК726265,4,5,2025-10-07
3,Ткаченко,119430462,3,28,2025-07-10
3,Кравченко,983171336,3,4,2025-02-13
3,Шевченко,835607712,4,23,2025-09-15
3,Сидоренко,АК772360,3,28,2025-08-20
3,Романенко,471479503,1,6,2025-04-03
3,Олійник,МК225482,5,19,2025-07-13
3,Сидоренко,АК704653,3,30,2025-02-11
3,Шевченко,СК609985,3,26,2025-04-23
3,Кравченко,ТК367822,1,9,2025-04-13
3,Бондаренко,СК704341,1,29,2025-09-15
3,Романенко,699083987,4,16,2025-09-22
3,Поліщук,942737111,1,16,2025-07-05
3,Поліщук,ТК590251,2,30,2025-02-20
3,Коваленко,СК814600,4,9,2025-10-05
3,Романенко,МК765254,2,10,2025-10-23
3,Клименко,332491552,3,22,2025-08-09
3,Шевченко,158912189,1,28,2025-02-16
3,Клименко,СК779215,3,9,2025-08-16
3,Бондаренко,104450642,5,28,2025-05-26
3,Сидоренко,727536027,3,1,2025-06-23
3,Романенко,801346781,4,2,2025-07-11
3,Романенко,СК133285,3,18,2025-07-26
3,Ткаченко,МК103668,5,21,2025-12-02
3,Ткаченко,ТК829030,5,22,2025-01-16
3,Ткаченко,988618501,1,6,2025-11-06
3,Романенко,744376432,1,5,2025-08-06
3,Коваленко,244383816,5,28,2025-11-14
3,Шевченко,509960307,5,8,2025-11-09
3,Ткаченко,620419183,2,28,2025-01-16
3,Олійник,517213736,5,13,2025-11-26
3,Коваленко,ТК727756,5,14,2025-10-10
3,Сидоренко,МК709289,4,29,2025-08-01
3,Кравченко,854291480,1,2,2025-08-05
3,Коваленко,461657354,4,26,2025-02-19
3,Поліщук,334883717,3,27,2025-05-17
3,Коваленко,ТК659106,5,10,2025-11-10
3,Бондаренко,АК582432,5,18,2025-07-23
3,Олійник,199364046,2,14,2025-10-04
3,Кравченко,МК296485,2,29,2025-05-05
3,Клименко,ТК986217,4,21,2025-04-18
3,Ткаченко,АК414708,2,22,2025-03-10
3,Сидоренко,438563166,3,15,2025-12-28
3,Клименко,322533528,1,26,2025-02-20
3,Романенко,670203743,4,12,2025-03-17
3,Сидоренко,407405925,1,5,2025-09-09
3,Коваленко,ТК326169,1,30,2025-11-12
3,Кравченко,ТК822572,4,24,2025-09-01
3,Ткаченко,МК378296,2,19,2025-10-01
